Number,Hotel Names,Hotel Ratings,Number of Reviews,Hotel Prices
1,HUGE 2 Floor with Home Theatre Room,6.7,12 reviews,$134
2,Souplex apartment - green setting,unrated,no review,$137
3,Splendid apartment 1BR6P apartment - Tour Eiffel Champs de Mars 0,6.0,6 reviews,$140
4,Magnifique loft - Place Saint Fargeau,6.7,33 reviews,$140
5,CMG Hotel de Ville - Manteaux,6.3,32 reviews,$147
6,Metropol,6.5,"2,720 reviews",$153
7,Fantastic flat 1BDR6P-REPUBLIQUE,unrated,no review,$161
8,Amazing apartment-6P- Montorgueil - République,6.3,6 reviews,$161
9,Cozy apartment - Paris Porte de Versailles,6.4,12 reviews,$163
10,Hipotel Paris Père-Lachaise République,5.4,"2,170 reviews",$167
11,Cosy apartment in the heart of Belleville 6P2bedroom,7.0,9 reviews,$168
12,CMG Cavallotti - Montmartre,6.7,14 reviews,$171
13,Amazing apartment 5P1BR - Belleville,6.7,25 reviews,$175
14,60 m with terrace near train stations,unrated,no review,$175
15,CMG-Clery - Place des Victoires,7.6,54 reviews,$180
16,Cactus,7.1,"1,303 reviews",$181
17,Cosy apartment-6P-PigalleLafayette,unrated,32 external reviews,$181
18,Appartement 2 pièces au pied du métro Buzenval.,7.6,7 reviews,$183
19,Hotel Le Clos d'Alésia,7.2,"1,263 reviews",$185
20,Le Bellevue,8.3,"2,529 reviews",$186
21,Cosy apartment- 6P- Folies Bergères,3.0,1 review,$188
22,CMG Nation- Industriels D,6.9,34 reviews,$189
23,Modern Apartment near MontmartreSacré Cœur,unrated,7 external reviews,$190
24,Résidence Saint Charles - Parc des Expositions,7.4,5 reviews,$193
25,Hotel Agenor,7.0,"1,208 reviews",$195
26,CMG Tres bel appartement lumineux Montorgueil Sentier,6.8,11 reviews,$198
27,Bastille - Lappe - Quartier anime,unrated,13 external reviews,$201
28,Hôtel Renoir Montparnasse,6.2,"1,141 reviews",$201
29,CityKamp Paris,7.7,575 reviews,$202
30,Splendid Place 2BR6P - MaraisRépublique,8.0,2 reviews,$204
31,Hipotel Paris Belgrand Mairie du 20ème,7.0,"1,417 reviews",$204
32,Ibis Paris Gare Montparnasse Catalogne,8.4,"1,857 reviews",$205
33,TOUR EIFFEL VAUGIRARD PARIS,5.6,17 reviews,$206
34,Libertel Montmartre Opéra,8.3,"1,134 reviews",$207
35,Appartement Paris près de Gare de Lyon,6.8,70 reviews,$207
36,Appartement Charmant et Spacieux au Cœur de Paris,unrated,no review,$208
37,121 Paris Hotel,6.7,855 reviews,$208
38,Amazing Apartment 2BR6P - Sacré Coeur Montmartre,7.3,15 reviews,$208
39,Hotel Le Twelve,6.3,"1,009 reviews",$211
40,Beautiful Apartment 6 P - Village d'Auteuil,10,1 review,$211
41,Hotel Moderne Saint Germain,8.1,"2,116 reviews",$213
42,CMG Lamartine-Maubeuge,6.0,14 reviews,$213
43,CMG Résidence Canal Saint-Martin / Vellefaux,7.4,226 reviews,$214
44,Hôtel Coypel by Magna Arbor,7.7,"2,459 reviews",$217
45,Résidence Le Belleville,9.2,21 reviews,$217
46,Charming Appart duplex 7P2BR Le Marais,9.1,7 reviews,$219
47,Champs de Mars Appartement,8.5,95 reviews,$219
48,Mon Paris,7.5,96 reviews,$219
49,CMG Faubourg Saint-Martin,7.9,75 reviews,$219
50,Stylish parisian Loft 6P1BR - City Center Sentier,7.5,11 reviews,$219
51,Est Hotel,8.1,"6,378 reviews",$220
52,Hotel Bellevue Montmartre,7.5,101 reviews,$220
53,Charming apartment 2BR8P - South Pigalle - 2,unrated,10 external reviews,$222
54,Aparthotel Adagio Access Paris La Villette,7.2,"1,106 reviews",$222
55,Résidence Javel 1,7.7,3 reviews,$222
56,Avalon Hotel,6.9,"2,848 reviews",$224
57,Hôtel Korner Etoile,8.3,"1,395 reviews",$225
58,Hôtel Kabanel,7.5,"2,244 reviews",$225
59,Hôtel Du Mont Dore Batignolles,7.8,251 reviews,$225
60,CMG Résidence Strasbourg-Saint Denis / Beauregard,7.1,63 reviews,$226
61,Le Trente,7.9,976 reviews,$228
62,Korner Opera,7.9,"1,186 reviews",$228
63,Grand Hôtel du Havre,6.4,"1,897 reviews",$229
64,Beautiful place 1BR5P - Montorgueil,7.0,22 reviews,$230
65,Elysees Niel Hotel,8.0,"1,322 reviews",$230
66,Hotel Riviera Elysees,6.7,"1,303 reviews",$230
67,Levis Charming Place,8.1,71 reviews,$230
68,Grand Hôtel Des Gobelins,8.1,"1,898 reviews",$233
69,Les Patios du Marais 1,7.4,"2,812 reviews",$234
70,Hotel Le Richemont,7.9,"1,884 reviews",$235
71,Beautiful place-6P- République,7.0,26 reviews,$235
72,So Stay - Appartement tendance avec 1 chambre à Montorgueil,8.7,47 reviews,$235
73,Résidence Near Republique,7.7,7 reviews,$235
74,WIT Hotel,7.1,"2,926 reviews",$236
75,ibis Paris Gare du Nord TGV,7.5,"1,755 reviews",$237
